id,vendor_id,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration
id2875421,2,1,-73.982154850,40.767936710,-73.964630130,40.765602110,455
id2377394,1,1,-73.980415340,40.738563540,-73.999481200,40.731151580,663
id3858529,2,1,-73.979026790,40.763938900,-74.005332950,40.710086820,2124
id3504673,2,1,-74.010040280,40.719970700,-74.012268070,40.706718440,429
id2181028,2,1,-73.973052980,40.793209080,-73.972923280,40.782520290,435
id0801584,2,6,-73.982856750,40.742195130,-73.992080690,40.749183650,443
id1813257,1,4,-73.969017030,40.757839200,-73.957405090,40.765895840,341
id1324603,2,1,-73.969276430,40.797779080,-73.922470090,40.760559080,1551
id1301050,1,1,-73.999481200,40.738399510,-73.985786440,40.732814790,255
id0012891,2,1,-73.981048580,40.744338990,-73.972999570,40.789989470,1225
id1436371,2,1,-73.982650760,40.763839720,-74.002227780,40.732990260,1274
id1299289,2,4,-73.991531370,40.749439240,-73.956542970,40.770629880,1128
id1187965,2,2,-73.962982180,40.756679530,-73.984405520,40.760719300,1114
id0799785,2,1,-73.956306460,40.767940520,-73.966110230,40.763000490,260
id2900608,2,1,-73.992195130,40.727226260,-73.974655150,40.783069610,1414
id3319787,1,1,-73.955513000,40.768592830,-73.948760990,40.771545410,211
id3379579,2,1,-73.991165160,40.755561830,-73.999290470,40.725353240,2316
id1154431,1,1,-73.994255070,40.745803830,-73.999656680,40.723342900,731
id3552682,1,1,-74.003982540,40.713012700,-73.979194640,40.749923710,1317
id3390316,2,1,-73.983886720,40.738197330,-73.991203310,40.727870940,251
id2070428,1,1,-73.980369570,40.742420200,-73.962852480,40.760635380,486
id0809232,2,1,-73.979537960,40.753360750,-73.963996890,40.763458250,652
id2352683,1,1,-73.995864870,40.758811950,-73.993324280,40.740322110,423
id1603037,1,1,-73.993553160,40.747173310,-74.006141660,40.704383850,1163
id3321406,2,1,-73.955230710,40.777133940,-73.788749690,40.641471860,2485
id0129640,2,1,-73.956581120,40.771358490,-73.974967960,40.732791900,1283
id3587298,1,1,-73.983764650,40.749874110,-73.958831790,40.800960540,1130
id2104175,1,1,-73.958435060,40.713191990,-73.949539180,40.680252080,694
id3973319,2,1,-73.994216920,40.713306430,-73.982849120,40.692298890,892
id1410897,1,1,-73.982116700,40.756351470,-73.865692140,40.770988460,2331
id0266980,1,1,-73.970939640,40.761669160,-73.996238710,40.725368500,1479
id2822549,2,1,-73.998268130,40.720039370,-74.010360720,40.672138210,1048
id3075902,2,2,-74.005500790,40.706588750,-73.985816960,40.744201660,1022
id0023813,1,1,-73.990310670,40.756580350,-73.870918270,40.773929600,2269
id3970352,1,1,-74.008995060,40.712589260,-73.998634340,40.722808840,707
id3361153,1,1,-73.994560240,40.750526430,-73.978500370,40.756191250,526
id1870624,1,3,-73.951515200,40.770248410,-73.958526610,40.761516570,553
id2403238,1,1,-73.988067630,40.728080750,-73.980751040,40.721469880,277
id3323083,1,2,-73.978126530,40.758342740,-73.992248540,40.730541230,1189
id3720663,1,1,-73.977767940,40.774078370,-73.947143550,40.775993350,1523
id0578558,1,2,-73.988548280,40.745979310,-73.970886230,40.793384550,1450
id2573056,2,2,-73.974723820,40.751136780,-73.954444890,40.764118190,1102
id2129090,1,1,-73.975090030,40.758766170,-73.953201290,40.765068050,1346
id3961107,1,1,-73.976470950,40.739780430,-73.980667110,40.729965210,363
id3326491,2,1,-73.979644780,40.739631650,-73.994728090,40.723495480,559
id0718344,2,1,-74.016326900,40.704990390,-73.982109070,40.773750310,1478
id3188770,1,1,-73.985137940,40.732192990,-73.989639280,40.720874790,348
id1956279,2,1,-73.981658940,40.778972630,-73.969810490,40.792129520,375
id2391523,1,3,-73.966163640,40.766914370,-73.992179870,40.725818630,1217
id2662609,1,1,-73.965469360,40.765846250,-73.960952760,40.796928410,876
id2067879,2,1,-73.996818540,40.752861020,-73.809005740,40.816875460,1557
id1939961,1,1,-73.977256770,40.774246220,-73.990013120,40.732654570,1647
id0675800,2,6,-73.977752690,40.754631040,-74.001678470,40.756420140,634
id2569332,1,1,-73.968727110,40.786437990,-73.960495000,40.778152470,365
id0526266,2,1,-73.934883120,40.801010130,-73.983001710,40.722568510,819
id1388344,2,2,-73.982337950,40.762809750,-73.982856750,40.748779300,1228
